uql_query,natural_query
"[ds6w:type]:""foaf:Group"" AND [ds6w:label]:""ds-swym-conference-beta""",Retrieve documents of type foaf:Group and label ds-swym-conference-beta.
"[ds6w:type]:(""foaf:Group"" OR ""pno:Person"")","Retrieve documents of type ""foaf:Group"" or ""pno:Person""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:YzBQ4aF1T4SoXO4eo6y2qg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-06-19 06:28:29"") OR ([ds6w:modified]>""2021-03-03 05:37:45"")))","""Retrieve posts, ideas, questions, or Wikitree pages with container ID swym:215dsi0708:DSEXT001:community:YzBQ4aF1T4SoXO4eo6y2qg, with type either 'Post', 'Idea', or 'Question', or type 'WikitreePage' with visibility set to 1, and created before June 19, 2020, 6:28:29 AM or after March 3, 2021, 5:37:45 AM."""
"[ds6w:type]:""foaf:Group"" AND [ds6w:label]:""ds-swym-ug-copilot""",Retrieve documents of type foaf:Group and with label ds-swym-ug-copilot.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:c2-G51rTSM-TD_F-WzUTng"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-06-04 10:40:56"") OR ([ds6w:modified]>""2020-06-12 08:14:59"")))","""Retrieve documents with container ID swym:215dsi0708:DSEXT001:community:c2-G51rTSM-TD_F-WzUTng that are either of type post, idea, or question, or are Wikitree pages with visibility 1, and were modified before 2020-06-04 10:40:56 or after 2020-06-12 08:14:59."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1SWnL2CsQn6OZIAnJzh82g"")","""Retrieve documents with resource UID matching 'wym:215dsi0708:DSEXT001:community:1SWnL2CsQn6OZIAnJzh82g'."""
"[ds6w:type]:(""pno:Person"")","Retrieve documents of type ""pno:Person""."
"[ds6w:label]:""SRE_Telephony""",Search for documents with label SRE Telephony.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:f7Ck74InT2yPkHPir-iNzA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-03-09 00:52:16"") OR ([ds6w:modified]>""2024-05-17 16:22:51"")))","""Retrieve documents in the container swym:215dsi0708:DSEXT001:community:f7Ck74InT2yPkHPir-iNzA with type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with visibility 1, created before 2019-03-09 00:52:16 or after 2024-05-17 16:22:51."""
[ds6w:label]:(Feed reader*),"Search for documents with labels that start with ""Feed reader""."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:LiV1BhHESSS-CNH4ax0HVw"")","""Retrieve documents with resourceUid matching swym:215dsi0708:DSEXT001:community:LiV1BhHESSS-CNH4ax0HVw"""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:685"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2012-10-04 20:19:41"") OR ([ds6w:modified]>""2024-05-20 13:51:25"")))","""Retrieve posts, ideas, or questions in community 685 with container UID 'wym:215dsi0708:DSEXT001' that are either publicly visible wiki pages or have a modified date after October 4, 2012 20:19:41 or before May 20, 2024 13:51:25."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:RsklXAJFS5yBcNClO1f_1A"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-10-06 13:38:12"") OR ([ds6w:modified]>""2024-04-24 13:04:47"")))","""Retrieve posts, ideas, or questions from the 'wym:215dsi0708:DSEXT001:community:RsklXAJFS5yBcNClO1f_1A' container that are visible in the wiki and were modified before October 6, 2022, or after April 24, 2024."""
"[ds6w:modified] >= ""2024-05-21T05:15:23Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)","Retrieve documents modified since May 21, 2024, 05:15:23 AM and having type either DriveFile or DriveFolder."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:-TwZeYPoT8qSglk4yvwuRQ"")","""Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:-TwZeYPoT8qSglk4yvwuRQ."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1106"")","""Retrieve resources with the specified UID."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:74"")","""Retrieve documents with resource ID swym:215dsi0708:DSEXT001:community:74."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:4estbERFQse6si6NKlsHdQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-11-24 11:13:59"") OR ([ds6w:modified]>""2022-12-08 10:31:50"")))","""Retrieve documents in the container swym:215dsi0708:DSEXT001:community:4estbERFQse6si6NKlsHdQ, which are either posts, ideas, or questions, or are WikiTree pages with visibility set to 1, and were modified between November 24, 2022, 11:13:59 and December 8, 2022, 10:31:50."""
"[ds6w:resourceUid]:(""iam:yvp"" BOR ""iam:fhh"" BOR ""iam:prt4"")",Retrieve resources with resourceUid equal to iam:yvp or iam:fhh or iam:prt4.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:LF2Gs7nSQfyvWoefmFWjaw"")","""Retrieve documents with resource UID that matches swym:215dsi0708:DSEXT001:community:LF2Gs7nSQfyvWoefmFWjaw."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:hghXHsn2QLaYPgG18GGZZg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-11-22 13:19:31"") OR ([ds6w:modified]>""2024-05-20 20:25:58"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:hghXHsn2QLaYPgG18GGZZg' that are either of type 'Post', 'Idea', or 'Question' or are WikiTree pages with visibility set to 1, and were modified before November 22, 2022 13:19:31 or after May 20, 2024 20:25:58."""
"[ds6w:resourceUid]:(""iam:g5t"")",Retrieve documents with resourceUid iam:g5t.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:533"")",Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:533.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:DOIAj2VmTlmwaJxOrf1HnQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-11-14 18:31:53"") OR ([ds6w:modified]>""2023-01-06 01:01:07"")))","""Give me documents from the container 'wym:215dsi0708:DSEXT001:community:DOIAj2VmTlmwaJxOrf1HnQ' that are either 'Post', 'Idea', 'Question', or 'WikitreePage' and have visibility set to 1, and were modified between 11/14/2022 18:31:53 and 01/06/2023 01:01:07."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:44"")",Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:44.
"[ds6w:resourceUid]:(""iam:bta2"" BOR ""iam:kyi4"" BOR ""edbfdcae-ca81-4cdd-a8de-17d8a45a8591"" BOR ""iam:yh4"")","Retrieve resources with UIDs iam:bta2, iam:kyi4, edbfdcae-ca81-4cdd-a8de-17d8a45a8591, or yh4."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1URwuJDnQ66co73vWF-aPw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-04-16 01:32:46"") OR ([ds6w:modified]>""2024-05-01 07:32:44"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:1URwuJDnQ66co73vWF-aPw' with type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with visibility set to 1, created before April 16, 2021 01:32:46 or after May 1, 2024 07:32:44."""
[ds6w:label]:add*,"Retrieve documents with label that starts with ""add""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:-oJmMmLIR6K4XK1xoafMbA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-10-18 16:44:53"") OR ([ds6w:modified]>""2024-05-16 04:14:58"")))","""Retrieve posts, ideas, or questions from the community 'wym:215dsi0708:DSEXT001' with a type of 'Post', 'Idea', or 'Question' or wiki pages with visibility '1', created before October 18, 2021 16:44:53 or after May 16, 2024 04:14:58."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:22"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2009-04-08 18:00:18"") OR ([ds6w:modified]>""2024-05-20 09:52:50"")))","""Retrieve documents in the swym:215dsi0708:DSEXT001:community:22 container that are of type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with visibility set to 1, created before April 8, 2009 18:00:18 or after May 20, 2024 09:52:50."""
